"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Thalictrum flavum","Common meadow rue","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","3 to 4 ft high, well drained soil","germination low and sporadic."
"Asclepias syriaca","Common milkweed","pink","orn",">2 wks @ 68 F, slow germ.",-10,"thin",10,"Perennial","fsun","needs well drained moist soil, tolerates drought","examine every week for aphids, grow cool"
"Silphium laciniatum","Compass plant","yellow","orn","12 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun","to 12 ft, leaves 12"" broad, J/A bloom",
"Echinacea paradoxa","Coneflower","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin",12,"Perennial","fsun",,
"Echinacea purpurea","Coneflower","rose pink","orn","9 wks @ 39 , move to 50  for germ.",-13,"covr",10,"Perennial","fsun","dry soil, grow cool, 50",
"Echinacea purpurea 'white swan'","Coneflower","white","orn","9 wks @ 39 , move to 50  for germ.",-13,"covr",10,"Perennial","fsun","dry soil, grow cool, 50",
"Rudbeckia occidentalis 'green wizard'","Coneflower","no petals","orn","<2 wks @ 72 F in lite, rapid germ.",-2,"surf",12,"Perennial","fsun",,"grow cool, 50"
"Heuchera sanguinea 'cramoisi'","Coral bells","red","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Heuchera sanguinea 'snow angel'","Coral bells","white","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Heuchera x brizoides gracilima","Coral bells",,"orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Lilium pumilum","Coral lily","Red, to 3 ft.","orn","4 wks @ 68 F, 4 wks @ 39 , move to 50  for germ.",-15,"surf",12,"Perennial","fsun","Comes from dry open stony ground","repeat cycle if necessary"
"Coriandrum sativum","Coriander/cilantro","white","herb","sow outdoors, <2 wks @ 60 F in dark, rapid germ.",8,"covr",12,"Annual","fsun","Do not grow near fennel, grow cool, 55","for beneficial insects"
"Zea mays v. saccharata","Corn","bodacious hyb - se","vege","<2 wks @ 72 F, rapid germ.",-3,"covr",12,"Annual","fsun","grow cool",
"Centaurea cyanus","Cornflower","mix","orn","sow outdoors, <2 wks @ 68 F in dark, rapid germ.",0,"covr",12,"Annual","fsun","expose to sun and wind for lower height overall","grow cool, 50-55"
"Veronica repens","Corsican speedwell","pale blue to white (pink)","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.","5 to10 cm"
"Corydalis curvisiliqua","Corydalis","grandibracteata","orn","sow outdoors, 2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",25,"thin",12,"Perennial","psha","12x24"", yellow flower, short lived seed","remove feather tails before sowing"
"Cosmos bipinnatus","Cosmos","Pink/Red mix","orn","<2 wks @ 68 F, rapid germ., may benefit from kno3",-5,"covr",15,"Annual","fsun","No fertilizer - deadhead regularly","1986 aas winner, brite red single, dwarf"
"Anthriscus sylvestris 'raven's wing'","Cow parsley","off-white","herb","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",12,"Biennial","fsun","b or p, psha to fsun, will naturalize, sow seed in situ","poor germinator"
"Vaccinium vitis-idaea","Cowberry/mtn. cranberry","groundcover","shrub","sow outdoors, 2-4 wks @ 68 F, 4-6 mths @ 21 F, move to 53 F for germ.",25,"covr",12,"Perennial","fsun","10 inches x 3  ft",
"Primula veris","Cowslip","yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-10,"surf",12,"Perennial","fsha","does not like heat","6"" to zone 5"
"Primula vulgaris","Cowslip","orange","orn","<2 wks @ 68 F in lite, rapid germ.",-10,"surf",12,"Perennial","fsha","does not like heat","6"" to zone 5"
"Geranium 'kashmir blue'","Cranesbill","blue","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","(G. pratense albiflorum x G. clarkei 'kashmir wh')",
"Geranium asphodeloides","Cranesbill",,"orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","psun","cut back in midsummer, for the wild garden","supply extra grit and perlite for drainage"
"Geranium caespitosum","Cranesbill","pink","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","psun",,
"Geranium himalayense","Cranesbill","blue","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","Syn. w/G. grandiflorum + G. meeboldii","cut back in midsummer, rhizomatous"
"Geranium maculatum","Cranesbill","pink","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","(G. pratense albiflorum x G. clarkei 'kashmir wh')",
"Geranium psilostemon","Cranesbill","magenta","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",24,"Perennial","psun","magenta w/black center, for the border","syn. w/G. armenum"
"Geranium sp.","Cranesbill","white/dark blue blotch","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","Might be G. 'Joy'",
"Geranium x oxonianum 'claridge druce'","Cranesbill","pink/red stripe","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","cut back in midsummer","dry shade, invasive spreader "
"Geranium pratense","Cranesbill, meadow","pale blue","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","psun","cut back in midsummer",
"Geranium pyrenaicum","Cranesbill, pyrenean","forma albiflorum","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsha","12"" mounded rosettes",
"Baptisia leucophaea","Cream wild indigo","white","orn","soak seed, <2 wks @ 68 F, rapid germ.",-8,"thin",18,"Perennial","fsun","flowers well third year","very sensitive to damping off & transplanting"
"Holodiscus discolor","Creambush","cream","shrub","4 wks @ 68 F, 4 wks @ 39 , move to 50  for germ.",-15,"covr",120,"Perennial","fsun","10ft x 10ft",
"Argemone polyanthemos","Crested pricklypoppy","orange","orn",">2 wks @ 68 F, slow germ.",-6,"thin",10,"Annual","fsun",,
"Heuchera micrantha 'palace purple'","Crevice alumroot","cream","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Heuchera micrantha 'palace purple'","Crevice alumroot","cream","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Solidago x stahlenkrone","Crown of rays","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun",,
"Cucumis sativus","Cucumber","Arkansas little leaf","vege","sow outdoors, <2 wks @ 72 F, rapid germ.",0,"covr",48,"Annual","fsun","Pickling type, but decent slicer","grow cool"
"Veronicastrum virginica alba","Culvers root","white","orn","<2 wks @ 68 F in lite, rapid germ.",-3,"surf",12,"Perennial","fsun","PM  shade, well drained soils, esp. in winter","to 6 ft tall, Je - S bloom"
"Silphium perfoliatum","Cup plant","yellow","orn","12 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun","to 8 ft, J/A bloom",
"Catananche caerulea","Cupid's dart","bicolor","orn","<2 wks @ 68 F, rapid germ.",0,"thin",10,"Perennial","psha","2-3 ft height, grow cool",
"Helichrysum italicum","Curry plant",,"orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun","protected, well drained",
"Euphorbia polychroma","Cushion spurge","yellow","orn","<2 wks @ 68 F in lite, if no germ. 4 wks @ 39 F, recycle",0,"surf",12,"Perennial","psun",,"grow cool, 50-55"
"Camassia cusickii","Cusick's camas","pale blue","orn","sow @ 39 F, germ. erratic, often many months",-12,"thin",20,"Herbaceous perennial","fsun","favorite of grizzly bears","4 to 5 yrs to flower from seed"
"Agastache cusickii","Cusick's giant hyssop",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Liatris mucronata","Cusp gayfeather",,"orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun",," many empty seeds, grow cool, 50"
"Penstemon richardsonii","Cutleaf beardtongue","pink to purple","orn","Surface sow 6 wks @ 40 F for germ. in light ",-18,"surf",8,"Perennial","fsun","2 ft. tall, rocky cliffs, slides, and sandy washes","sprawls broadly"
"Rhus typhina 'laciniata'","Cutleaf sumac","fine cut leaves","shrub","nick and soak, 3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",36,"Perennial","fsun",,"puncture seed"
"Cyclamen persicum giganteum","Cyclamen, pastel diploid","Late summer lilac","orn","Constant 80 F soak, sow @ 60 F in the dark",-12,"covr",8,"Annual","fsha",,"grow cool, 6"" pots"
"Ipomoea quamoclit","Cypress vine","red","vine","<2 wks @ 68 F, rapid germ.",-1,"thin",10,"Annual","fsun",,
"Dahlia pinnata","Dahlia","Variabilis","orn","<2 wks @ 63 F, rapid germ.",-3,"covr",12,"Annual","fsun","grow cool",
"Hesperis matronalis","Dames rocket","purple","orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",15,"Biennial","fsun","grow cool, 55",
"Hesperis matronalis alba","Dames rocket","white","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"thin",12,"Biennial","fsun","cover thin",
"Salvia recognita","Decorative salvia",,"orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",10,"Perennial","psha",,
"Penstemon pseudospectabilis","Desert penstemon",,"orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","fsun",,"all penstemons prefer dry soil"
"Dicentra scandens","Dicentra","yellow/pink tipped","vine",">2 wks @ 70 F, slow germ.",-7,"thin",12,"Perennial","psun",,
"Anethum graveolens","Dill","yellow","herb","sow outdoors, <2 wks @ 60 F in lite, rapid germ.",0,"surf",12,"Annual","fsun","Time planting for cucumber harvest","grow cool"
"Liatris punctata","Dotted blazing star",,"orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun",," many empty seeds, grow cool, 50"
"Papaver laciniatum","Double poppy","salmon shades","orn","sow outdoors, <2 wks @ 60 F in dark, rapid germ.",-1,"covr",6,"Annual","fsun",,
"Proboscidea parviflora","Doubleclaw",,"orn ","Remove black seed covering first,  10 days @ 70 F",-6,"covr",48,"Annual-Perennial","fsun","3hx4w",
"Dracocephalum canescens","Dracocephalum","blue","orn","Sow @ 39 F, germ. erratic, often many months",-10,"thin",10,"Perennial","fsun",,
"Dracocephalum speciosum","Dracocephalum","blue","orn","Sow @ 39 F, germ. erratic, often many months",-10,"thin",10,"Perennial","fsun",,
"Cineraria maritima","Dusty Miller","diamond","orn","<2 wks @ 74 F in lite, rapid germ.",-13,"surf",12,"Annual/Biennial","fsun",,"grow cool"
"Senecio cineraria","Dusty miller","yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",8,"Perennial","fsun","silverlace finecut 10""",
"Dicentra cucullaria","Dutchman's britches","white","orn","3 mos @ 39 F, move to 70 F",-18,"surf",12,"Perennial","psha","short lived seed, will not tolerate dry storage.",
"Aruncus aethusifolius","Dwarf goat's beard","cream white","orn","2-4 wks @ 68 F in light, 4-6 wks @ 39 , move to 53  for germ.",-18,"surf",6,"Perennial","fsun","rock garden",
"Allium oreophilum (ostrowskianum)","Dwarf rose leek","carmine-rose","orn","2 wks @ 68 F, 4 wks @ 39 , move to 68  for germ.",-15,"covr","clump","Perennial","fsun","grow cool, 55-60","well drained rock garden plant"
"Solidago juncea","Early goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","to 4 ft tall, J/A bloom",
"Salvia nemorosa 'ostfriedland'","East freisland sage","blue","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",8,"Perennial","psun","grow cool","syn. S. sylvestris"
"Monarda bradburiana","Eastern beebalm","pinkish white","orn","<2 wks @ 60 F in lite, rapid germ.",-7,"surf",12,"Perennial","psha",,"prefer moist soils"
"Amsonia taberanaemontana","Eastern bluestar","blue","orn","6 wks @ 39 F, then @ 68 F, germ. erratic,  many months",-12,"surf",6,"Perennial","fsun","to 4 ft tall, A - Jy bloom",
"Opuntia humifusa","Eastern prickly pear","yellow","orn","After GA-3 soak, >2 wks @ 68 F, slow germ.",25,"covr",10,"Perennial","fsun","germinates during second year",
"Penstemon eatonii","Eaton's firecracker","red","orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",12,"Perennial","psun",,"basal leaves w/scarlet flowers on 3ft high stalk"
"Penstemon ovatus","Eggleaf beardtongue","medium blue","orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","psun","watch for early germ. while in cold stratification","2-3' tall, woodland plant prefers part day shade"
"Solanum melongena 'rosita'","Eggplant, F1","white","vege","<2 wks @ 73 F, rapid germ.",-5,"covr",24,"Annual","fsun","grow cool",
"Inula helenium","Elecampane","yellow","herb","<2 wks @ 60 F in lite, rapid germ.",-6,"surf",24,"Perennial","fsun","4-6 ft high, flower second year","extra sensitive to mildew, use sulfur dust"
"Amaranthus gangeticus","Elephant head amaranth","red/maroon","orn","<2 wks @ 72 F, rapid germ.",-2,"thin",24,"Annual","fsun","Staking required, good drainage","grow cool"
"Paulownia tomentosa","Empress tree","violet w/yel stripes","tree",">2 wks @ 86 F in lite under mist and light, 68 F at nite",-11,"surf",360,"Perennial","fsun","30 to 40', dense shade","intolerant of competition"
"Chenopodium ambrosioides","Epazote","Mexican tea","herb","<2 wks @ 75 F, rapid germ.",-5,"thin",8,"Annual","fsun",,
"Erigeron leiomerus","Erigeron",,"orn","<2 wks @ 68 F in lite, rapid germ.",-6,"thin",10,"Annual","fsun",,
"Eryngium eburneum","Eryngo",,"orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",6,"Biennial","fsun","to 6 ft.",
"Eryngium pandanifolium","Eryngo","green","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",6,"Biennial","fsun","zone 6",
"Eupatorium ageratoides","Eupatorium","white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in lite",-5,"surf",12,"Perennial","fsha","cannot handle sun","50% germ. on all Eupatorium species"
"Sorbus aucuparia","European mountain ash","white","tree","12-16 wks @ 39 F, move to 68 F for germ. ",-15,"thin",180,"Perennial","fsun",,
"Scutellaria galericulata","European scullcap","blue","orn","wc 2 d, 6 wks @ 39 F, >60 F",-8,"surf",10,"Perennial","fsun","sharp drainage mix, sow seeds between thin layers of grit","screen out fine particles from grit, change solution ea. 12 h"
"Veronica beccabunga","European speedwell","blue/pink tinge","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.","10 cm, procumbent"
"Oenothera aff. macroscles","Evening primrose","peach","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Perennial","fsun",,
"Oenothera berlandierii","Evening primrose","white/pink","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Perennial","fsun",,
"Oenothera pallida runciniata","Evening primrose","white","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Perennial","fsun",,
"Matthiola incanum","Evening Stock",,"orn","<2 wks @ 68 F, rapid germ.",-4,"thin",4,"Biennial","psha","Cool weather preferred, no PM sun",
"Ammobium grandiflora","Everlasting","white","orn","<2 wks @ 68 F, rapid germ.",-4,"covr",12,"Annual","fsun","pick flowers b/4 fully open",
"Acmella oleracea","Eyeball plant","yellow/maroon eye","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Annual","psha","protect from slugs while young",
"Eryngium foetidum","False cilantro","green","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",10,"Annual","fsun",,
"Astilbe x arendsii","False spirea","red or pink mix","orn","sow outdoors, 2-4 wks @ 68 F, 4-6 wks @ 21 F, move to 53 F for germ.",25,"surf",10,"Perennial","psha","2nd yr flower, ht=2gft, slow to germ (20)","prefers moist soil, grow cool"
"Calamagrostis arundinacea","Feather reed grass",,"grass","<2 wks @ 68 F, rapid germ.",-3,"covr",24,"Perennial","fsun","moist, rich soil","zone 5"
"Finocchio, foeniculum","Fennel","Florence","herb","sow outdoors, <2 wks @ 68 F, rapid germ.",-1,"covr",10,"Annual","fsun","grow cool, 55-60",
"Tanacetum parthenium","Feverfew","yellow/white","herb","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","fsun",,
"Phacelia tanacetifolia ","Fiddleneck","blue to mauve","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",12,"Annual","psha",,
"Silene virginica","Fire pink","fuschia","orn","<2 wks @ 68 F, rapid germ.",-6,"surf",8,"Perennial","psha"," grows to 4 feet","best in the wild garden"
"Epilobium angustifolium album","Fireweed","white","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",10,"Perennial","fsun","Spreads by underground runners","responds to 500 ppm GA-3"
"Gaillardia pulchella","Firewheel","red plumes","orn","<2 wks @ 73 F in lite, rapid germ.",-9,"surf",12,"Perennial","fsun",,"grow cool, 55-60"
"Scabiosa fischerii","Fischer's scabious",,"orn","sow @ 39 F, germ. erratic, often many months",-15,"covr",9,"Perennial","fsun",,"grow cool, 50-55"
"Linum grandiflorum","Flax","Blue","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",0,"covr","clump","Annual","psun",,
"Ageratum houstonianum","Flossflower","Royal delft","orn","<2 wks @ 80 F in lite, rapid germ.",-6,"surf",10,"Annual","fsun","Hold in 2  pots until buds form, then transplant","grow cool"
"Abutilon vitifolium","Flowering maple","light blue","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",18,"Annual","fsun","to zone 7, winter indoors","spray for whitefly"
"Nicotiana sylvestris","Flowering tobacco","white","orn",">2 wks @ 75 F in lite, slow germ.",-8,"surf",24,"Annual","fsun","6 ft high, 2 ft wide",
"Myosotis alpestris","Forget-me-not","blue","orn","<2 wks @ 68 F in lite, rapid germ.",-10,"surf",10,"Perennial","psha","plants sensitive to botrytis in chicago latitudes","grow cool, 55"
"Lilium formosanum","Formosa lily","White, to 7 ft.","orn","4 wks @ 68 F, 4 wks @ 39 , move to 50  for germ.",-15,"surf",12,"Perennial","fsun","must be kept moist at all times","repeat cycle if necessary"
"Mirabilis jalapa","Four o'clock","yellow","orn","sow outdoors, <2 wks @ 72 F, rapid germ.",1,"covr",24,"Annual","fsun","grow cool",
"Digitalis eriostachya","Foxglove","pale yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-4,"surf",12,"Perennial","fsun",,
"Digitalis purpurea","Foxglove","mix","orn","<2 wks @ 63 F in lite, rapid germ.",-6,"surf",15,"Biennial","psha","fresh seed only","grow cool, 55-60"
"Hordeum jubatum","Foxtail barley",,"grass","<2 wks @ 68 F, rapid germ.",-3,"thin","clump","Annual","fsun","moist, well drained soil","to 2 ft tall, Je - S bloom, zone 5"
"Agrimonia procera","Fragrant agrimony","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr",12,"Perennial","fsun",,
"Tagetes patula","French marigold","dwarf, yellow","orn","<2 wks @ 74 F in lite, rapid germ.",-5,"surf",15,"Annual","fsun","cover seed lightly with verm.","grow cool"
"Tellima grandiflora","Fringe cups",,"orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",12,"Perennial","psha","moist humusy soil","1  to 2 ft high, dappled shade"
"Spodiopogon sibiricus","Frost grass",,"grass","<2 wks @ 68 F in lite, rapid germ.",-3,"surf","clump","Perennial","psun","moist, rich soil, well drained","zone 5"
"Dipsacus fullonum","Fullers teasel","lavender","orn","sow outdoors, <2 wks @ 65 F in lite, rapid germ.",0,"surf",12,"Biennial","fsun","to 6 ft - bee plant","vigorous self-sower, invasive to the max."
"Allium ursinum","Gaileag","white","orn","2 wks @ 68 F, 4 wks @ 39 , move to 68  for germ.",-15,"covr","clump","Perennial","fsun",,
"Galtonia candicans","Galtonia","white","orn",">2 wks @ 68 F, slow germ.",-6,"thin",12,"Perennial","fsun","bulb, 2 to 3 yrs to flower",
"Phlox drummondi","Garden phlox","mixed","orn","<2 wks @ 63 F in dark, rapid germ.",-6,"covr",9,"Annual","fsun","container plant will grow in part shade","protect from mildew, grow cool, 50-55"
"Allium tuberosum","Garlic chives","white","orn","12 wks @ 39 F, move to 68 F for erratic germ.",-18,"covr",10,"Perennial","fsun","hold seedlings for 2 months before setting out","one per pot"
"Dictamnus fraxinella","Gas plant","albus purpureus","orn","sow outdoors, 6 wks @ 72 F, 6-8 wks @ 39 , gradually incr. to 50 F",25,"covr",36,"Perennial","fsun","2nd spring - transplant to 12"" apart","3rd spring - trans to permanent loc. 3ft x 3ft"
"Gaura lindheimeri","Gaura","white","orn",">2 wks @ 68 F, slow germ.",-5,"thin",18,"Annual","fsun","withhold water and fertilizer",
"Gazania linearis","Gazania","Mini-star tangerine","orn","<2 wks @ 68 F, rapid germ.",-6,"covr",10,"Annual","fsun","grow cool, 55-60","sensitive to crown rot- avoid overwatering"
"Salvia patens","Gentian sage","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-5,"thin",6,"Herbaceous perennial","psha",,
"Pelargonium x hortorum","Geranium","Scarlet border","orn","<2 wks @ 75 F, rapid germ.",-10,"covr",12,"Annual","fsun",,
"Teucrium hyrcanicum","Germander, caucasian","purple","orn","8 wks @ 39 F, move to coldframe for oscillating temps.",-15,"thin",12,"Perennial","fsun","hard to start",
"Geum chiloense (quellyon)","Geum","mrs. bradshaw","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",8,"Perennial","fsun","grow cool, 55-60",
"Geum chiloense (quellyon)","Geum","lady stratheden","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",8,"Perennial","fsun","grow cool, 55-60",
"Allium giganteum","Giant allium",,"orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-18,"covr",10,"Perennial","fsun","hold seedlings for 2 months before setting out","one per pot"
"Campanula latifolia","Giant bellflower","Great","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha","well drained soil but kept moist, 5 ft tall","mulch lightly over winter"
"Campanula latifolia 'brantwood'","Giant bellflower","Great","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha","well drained soil but kept moist, 5 ft tall","mulch lightly over winter"
"Pedicularis procera","Giant lousewort",,"orn","<2 wks @ 68 F, rapid germ.",-2,"thin",10,"Perennial","fsun",,
"Gomphrena globosa","Globe amaranth","Gnome purple","orn","sow outdoors, <2 wks @ 72 F, rapid germ.",-7,"thin",6,"Annual","fsun","do not over water",
"Globularia punctata","Globe daisy","violet-blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 ",-5,"thin",6,"Perennial","psun","rock garden plant to 10""","moist soil, partly shaded"
"Gilia capitata","Globe gilia","azure","orn ","<2 wks @ 68 F, rapid germ.",-5,"thin",6,"Annual","fsun",,
"Trollius europaeus","Globeflower","orange/yellow","orn","6 wks @ 72 F, 6-8 wks @ 39 , 4-6 wks @ 50 F, repeat",-17,"thin",10,"Perennial","psha","2ft x 1.5ft, shade from afternoon sun","needs GA3 gibberelic acid for germ."
"Rudbeckia hirta burpeei","Gloriosa daisy","yellow","orn","<2 wks @ 72 F in lite, rapid germ.",-2,"surf",12,"Perennial","fsun",,"grow cool, 50"
"Aruncus dioicus","Goat's beard","white","orn","3-4 wks @ 68 Fin light, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",15,"Perennial","psun","needs light, short lived in dry storage",
"Galega officinalis","Goat's rue","mauve/white","orn",">2 wks @ 68 F, slow germ.",-5,"thin",12,"Perennial","fsun",,
"Thermopsis montana","Golden banner","yellow","orn","nick and soak, >2 wks @ 70-75 F, slow germ. 20-90d",-6,"thin",10,"Perennial","fsun","puncture seed coat.",
"Laburnum anagyroides","Golden chain tree",,"tree","nick and soak, <2 wks @ 68 F, rapid germ.",-4,"covr",240,"Perennial","fsun","carry over in pots 1st winter, then plant out in spring, puncture seed.","mulch for the next 2 or 3 years until established"
"Anthemis tinctoria","Golden chamomile","yellow","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",12,"Perennial","fsun","transplant early on - gets weedy in the pot","grow cool"
"Chrysopsis villosa","Golden eye aster","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Annual","fsun","rock garden","syn. Heterotheca villosa"
"Acorus gramineus 'ogon'","Golden variegated Sweet flag",,"grass","sow outdoors, or 2-4 wks @ 68 F, 4-6 mths @ 21 F, move to 53 F for germ.",25,"surf",12,"Perennial","fsha","fertile, constantly moist, acid soil, grow in pot or bog","araceae, not a true grass, zone 6"
"Euphorbia lathyris","Gopher spurge","none","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",-3,"covr",18,"Perennial","fsun","invasive.  do not allow seed to ripen",
"Muscari sp.","Grape hyacinth","purple","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin","clump","Perennial","psun",,
"Lobelia syphilitica","Great blue lobelia","blue","orn","12 wks @ 39 F, move to 68 F in light  for germ. in 5-13d",-12,"surf",6,"Perennial","psun","moist soils","grow cool"
"Sanguisorba officinalis","Great burnet","dark red","orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",12,"Perennial","fsun","3ft x 2ft, moist soil",
"Rudbeckia maxima","Great coneflower","yellow","orn",">2 wks @ 68 F, slow germ. ",-3,"thin",24,"Perennial","fsun","to 8', giant plant",
"Astrantia major","Great Masterwort","white/pink","orn","4 wks @ 68 F, 12 wks @ 39 , move to 45  for germ.",-18,"thin",15,"Perennial","psha","prefers moist soils",
"Astrantia major 'hadspen blood'","Great Masterwort","dark red","orn","4 wks @ 68 F, 12 wks @ 39 , move to 45  for germ.",-18,"thin",15,"Perennial","psha","prefers moist soils",
"Chelidonium majus","Greater celandine","yellow","herb","6 wks @ 68F, 8 wks @ 39 F, raise to 53  slowly, recycle",-18,"thin",12,"Annual","fsun","seed killed by 6 mo. dry storage (40 or 70) store seed moist only",
"Digitalis lanata","Grecian foxglove","rusty yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-4,"surf",12,"Biennial","fsun",,
"Periploca graeca","Grecian silk vine","purple/yellow","orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,"T&M: 30-60d@65-70 F Z6-9"
"Nepeta dirphya","Greek catmint","blue","orn","<2 wks @ 68 F in dark, rapid germ.",-7,"thin",15,"Perennial","psun","grow cool, 50-55",
"Sideritis syriaca","Greek mountain tea","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-5,"covr",18,"Perennial","fsun",,
"Origanum vulgare ssp hirtum","Greek oregano","white","herb","<2 wks @ 68 F, rapid germ.",-5,"thin",10,"Perennial","fsun","inside during winter, grow cool, 50-55",
"Solidago nemoralis","Grey goldenrod","grass-leaf goldenrod","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","1 to 2 ft tall, gray foliage, dry meadow, Z3","sow heavily as only 5% of seeds develop"
"Heuchera villosa var. macrorhiza","Hairy alumroot","white","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
